StopNum,Type,Day,Longitude,Latitude,NumOfPackages
4267,Delivery,Tue,29.0815781,41.0037634,1
4268,Delivery,Tue,29.1691258,41.011656,1
4269,Delivery,Tue,29.1736855,41.0069545,1
4270,Delivery,Tue,29.1762144,41.0130059,1
4271,Delivery,Tue,29.1614607,40.989401,1
4272,Delivery,Tue,29.3150774,40.8171631,1
4273,Delivery,Tue,29.0817165,41.0062671,1
4274,Pickup,Mon,29.0861703,40.9890769,6
4275,Pickup,Mon,29.4325663,40.7984403,18
4276,Delivery,Mon,29.5674892,40.8338249,1
4277,Pickup,Mon,29.1382869,40.9305936,5
4278,Pickup,Tue,29.2551877,40.969761,21
4279,Pickup,Tue,29.2797871,40.9059203,1
4280,Pickup,Tue,29.2555514,40.970013,1
4281,Pickup,Tue,29.2550272,40.9697732,1
4282,Delivery,Tue,29.3149665,40.8171992,1
4283,Delivery,Tue,29.266373,40.8745516,1
4284,Pickup,Tue,29.4432482,40.7955393,1
4285,Pickup,Tue,29.2730577,40.8636159,2
4286,Delivery,Tue,29.3287564,40.9366072,1
4287,Delivery,Tue,29.4186218,40.8223112,1
4288,Delivery,Tue,29.3151807,40.8169289,1
4289,Delivery,Tue,29.3285213,40.9361194,1
4290,Delivery,Tue,29.140061,41.0003039,2
4291,Delivery,Tue,29.0860618,40.9891722,26
4292,Pickup,Tue,29.3254385,40.9367605,5
4293,Delivery,Tue,29.2314251,40.8777744,1
4294,Delivery,Tue,29.4158297,40.818598,1
4295,Delivery,Tue,29.4222268,40.8165967,1
4296,Delivery,Tue,29.2654626,40.8836127,1
4297,Pickup,Tue,29.1242781,41.0233115,44
4298,Delivery,Tue,29.1799341,41.0166963,1
4299,Delivery,Tue,29.1703988,41.0111023,1
4300,Delivery,Tue,29.179663,41.0112735,1
4301,Delivery,Tue,29.1250707,41.0256845,1
4302,Delivery,Tue,29.1294324,41.0104216,1
4303,Delivery,Tue,29.0815187,41.0045075,1
4304,Delivery,Tue,29.0839876,40.9933044,1
4305,Delivery,Tue,29.1913482,41.0285921,1
4306,Delivery,Tue,29.3234997,41.0991283,1
4307,Delivery,Tue,29.1912409,41.0198428,1
4308,Delivery,Tue,29.1830668,41.0181951,1
4309,Delivery,Tue,29.1888391,41.0158543,1
4310,Delivery,Tue,29.2925158,41.1186869,1
4311,Delivery,Tue,29.299624,41.1184527,1
4312,Delivery,Tue,29.1789796,41.0242517,1
4313,Delivery,Tue,29.2369649,41.0556766,1
4314,Delivery,Tue,29.2352446,41.0446368,1
4315,Delivery,Tue,29.1690041,41.0022071,2
4316,Delivery,Tue,29.1564858,40.9982489,1
4317,Delivery,Tue,29.1655712,40.9814377,9
4318,Delivery,Tue,29.129215,40.92883,2
4319,Delivery,Tue,29.1291972,40.9287965,1
4320,Delivery,Tue,29.128262,40.9304414,1
4321,Delivery,Tue,29.1516189,40.9246688,3
4322,Delivery,Tue,29.1384263,40.9306513,1
4323,Delivery,Tue,29.1601182,40.9172996,1
4324,Delivery,Tue,29.1448952,40.9898595,1
4325,Delivery,Tue,29.1374187,40.9964009,1
4326,Delivery,Tue,29.4734662,40.8636167,1
4327,Delivery,Tue,29.1273631,40.9692338,1
4328,Delivery,Tue,29.2297528,40.975155,68
4329,Delivery,Tue,29.1329249,40.9427993,1
4330,Delivery,Tue,29.1393995,40.93763,1
4331,Delivery,Tue,29.2309169,40.8928251,1
4332,Delivery,Tue,29.3646197,40.8538771,1
4333,Delivery,Tue,29.0922097,41.0295896,1
4334,Delivery,Tue,29.4194489,40.789699,1
4335,Delivery,Tue,29.4543363,40.8307342,1
4336,Delivery,Tue,29.2154603,41.0094854,1
4337,Delivery,Tue,29.5328162,40.7932607,1
4338,Delivery,Tue,29.1401368,41.000384,2
4339,Delivery,Tue,29.106818,41.0237597,1
4340,Delivery,Tue,29.0898632,41.0108121,2
4341,Delivery,Tue,29.1868969,40.9808525,1
4342,Delivery,Tue,29.1331107,40.9945226,1
4343,Pickup,Tue,29.1065865,41.0253018,1
4344,Pickup,Tue,29.4667913,40.7970817,4
4345,Delivery,Tue,29.14873,40.9266043,1
4346,Delivery,Mon,29.3149688,40.8172476,1
4347,Delivery,Mon,29.3149754,40.8172472,1
4348,Pickup,Mon,29.436939,40.786063,48
4349,Delivery,Tue,29.1003322,40.9839817,1
4350,Delivery,Tue,29.298908,40.9550128,7
4351,Delivery,Tue,29.2970853,40.9553518,13
4352,Delivery,Tue,29.1271205,41.0092121,1
4353,Delivery,Tue,29.1254342,41.0258735,1
4354,Delivery,Tue,29.1872812,41.0263406,1
4355,Delivery,Tue,29.1867355,41.0168675,1
4356,Delivery,Tue,29.1867263,41.0168524,1
4357,Delivery,Tue,29.1913957,41.0263798,1
4358,Delivery,Tue,29.318179,41.0857471,1
4359,Delivery,Tue,29.232552,41.0416782,1
4360,Delivery,Tue,29.2369643,41.0556804,1
4361,Delivery,Tue,29.1401977,41.0004643,6
4362,Delivery,Tue,29.1402211,41.0004029,2
4363,Delivery,Mon,29.2014868,41.0071158,4
4364,Delivery,Mon,29.4174604,40.8212735,1
4365,Delivery,Tue,29.3149295,40.8171677,1
4366,Delivery,Tue,29.3149574,40.8172091,6
4367,Delivery,Tue,29.3149657,40.8172031,2
4368,Pickup,Tue,29.4433132,40.7955492,4
4369,Delivery,Tue,29.2731838,40.8635701,25
4370,Delivery,Mon,29.5650238,40.8597085,1
4371,Delivery,Mon,29.1513575,41.0025765,1
4372,Delivery,Mon,29.1498457,40.9996751,1
4373,Delivery,Mon,29.3900456,40.7779569,2
4374,Pickup,Mon,29.0987544,40.9998653,11
4375,Delivery,Mon,29.3020204,40.8598383,1
4376,Pickup,Mon,29.0907819,41.0147665,8
4377,Pickup,Mon,29.4357821,40.7975314,1
