day,cluster_id,seq,Durak No,Longitude,Latitude,Paket Adedi
Mon,1,30,18,29.1702193,40.9846191,1.0
Mon,1,31,DEPOT,29.348245,40.920153,
Mon,2,0,DEPOT,29.348245,40.920153,
Mon,2,1,45,29.6216364,41.1562632,1.0
Mon,2,2,9,29.6077826,41.1707515,1.0
Mon,2,3,42,29.6095611,41.1744753,1.0
Mon,2,4,43,29.611812,41.1756349,1.0
Mon,2,5,60,29.6288274,41.158183,3.0
Mon,2,6,DEPOT,29.348245,40.920153,
Mon,3,0,DEPOT,29.348245,40.920153,
Mon,3,1,11,29.1939006,40.9891824,14.0
Mon,3,2,19,29.1826892,40.9808755,1.0
Mon,3,3,10,29.2615787,40.9957855,1.0
Mon,3,4,20,29.2512199,40.9749939,1.0
Mon,3,5,21,29.2388961,40.9779297,1.0
Mon,3,6,15,29.2285028,40.9915097,1.0
Mon,3,7,14,29.2327385,40.9986954,1.0
Mon,3,8,50,29.2307387,40.9963487,1.0
Mon,3,9,49,29.2301505,40.9948467,1.0
Mon,3,10,16,29.2300993,41.0056839,1.0
Mon,3,11,17,29.2341165,41.0015949,3.0
Mon,3,12,99,29.2375129,41.0157657,1.0
Mon,3,13,98,29.237589,41.0157631,1.0
Mon,3,14,93,29.232086,41.0177278,1.0
Mon,3,15,68,29.2320523,41.0149431,1.0
Mon,3,16,69,29.2128622,41.0097042,1.0
Mon,3,17,77,29.2103109,41.0117097,3.0
Mon,3,18,13,29.2149825,41.0030389,1.0
Mon,3,19,78,29.1771707,41.0416972,1.0
Mon,3,20,79,29.1887763,41.0329285,1.0
Mon,3,21,92,29.1909445,41.0225978,1.0
Mon,3,22,63,29.1919393,41.0135549,1.0
Mon,3,23,62,29.1872134,41.0094282,1.0
Mon,3,24,61,29.3372178,41.0790507,1.0
Mon,3,25,8,29.3393297,41.0737783,3.0
Mon,3,26,44,29.3261678,41.0962883,1.0
Mon,3,27,DEPOT,29.348245,40.920153,
Mon,4,0,DEPOT,29.348245,40.920153,
Mon,4,1,80,29.2310064,40.8939041,1.0
Mon,4,2,47,29.2373306,40.8810166,1.0
Mon,4,3,48,29.2289427,40.8808707,1.0
Mon,4,4,23,29.1901477,40.8945873,1.0
Mon,4,5,32,29.1845615,40.8886402,1.0
Mon,4,6,65,29.1482874,40.9154279,1.0
Mon,4,7,67,29.1391535,40.9168898,1.0
Mon,4,8,58,29.1281559,40.9295459,1.0
Mon,4,9,57,29.1234691,40.9313243,1.0
Mon,4,10,55,29.1288441,40.9371224,1.0
Mon,4,11,34,29.1382771,40.9305895,1.0
Mon,4,12,33,29.1382771,40.9305895,1.0
Mon,4,13,56,29.1429038,40.9273988,1.0
Mon,4,14,24,29.165726,40.9193168,84.0
Mon,4,15,66,29.1585426,40.9154296,1.0
Mon,4,16,85,29.2001123,40.9111761,1.0
Mon,4,17,83,29.207745,40.9103469,1.0
Mon,4,18,87,29.204352,40.9199943,1.0
Mon,4,19,86,29.2146935,40.9237656,1.0
Mon,4,20,81,29.2204585,40.9219076,1.0
Mon,4,21,84,29.2244152,40.9163548,1.0
Mon,4,22,82,29.2119046,40.9359886,1.0
Mon,4,23,DEPOT,29.348245,40.920153,
