StopNum,Type,Day,Longitude,Latitude,NumOfPackages,cluster_id
43,Delivery,Mon,29.611812,41.1756349,1.0,5
44,Delivery,Mon,29.3261678,41.0962883,1.0,21
45,Delivery,Mon,29.6216364,41.1562632,1.0,5
46,Delivery,Mon,29.3024885,40.9430008,1.0,12
47,Delivery,Mon,29.2373306,40.8810166,1.0,19
48,Delivery,Mon,29.2289427,40.8808707,1.0,19
49,Delivery,Mon,29.2301505,40.9948467,1.0,17
50,Delivery,Mon,29.2307387,40.9963487,1.0,17
51,Delivery,Mon,29.1249448,40.9996829,1.0,4
52,Delivery,Mon,29.1353194,41.0165827,1.0,33
53,Delivery,Mon,29.3221442,40.8221556,1.0,37
54,Delivery,Mon,29.3149952,40.833817,1.0,35
55,Delivery,Mon,29.1288441,40.9371224,1.0,9
56,Delivery,Mon,29.1429038,40.9273988,1.0,20
57,Delivery,Mon,29.1234691,40.9313243,1.0,38
58,Delivery,Mon,29.1281559,40.9295459,1.0,20
59,Delivery,Mon,29.3194957,40.8734018,1.0,35
60,Delivery,Mon,29.6288274,41.158183,3.0,5
61,Delivery,Mon,29.3372178,41.0790507,1.0,21
62,Delivery,Mon,29.1872134,41.0094282,1.0,16
63,Delivery,Mon,29.1919393,41.0135549,1.0,21
64,Pickup,Mon,29.0870261,41.0248098,9.0,2
65,Delivery,Mon,29.1482874,40.9154279,1.0,10
66,Delivery,Mon,29.1585426,40.9154296,1.0,10
67,Delivery,Mon,29.1391535,40.9168898,1.0,31
68,Delivery,Mon,29.2320523,41.0149431,1.0,17
69,Delivery,Mon,29.2128622,41.0097042,1.0,17
70,Delivery,Mon,29.127595,41.0262358,4.0,8
71,Delivery,Mon,29.1276128,41.0262484,1.0,8
72,Delivery,Mon,29.127652,41.0262259,2.0,8
73,Delivery,Mon,29.1276567,41.026238,1.0,8
74,Delivery,Mon,29.132955,41.0039431,1.0,33
75,Delivery,Mon,29.1328707,40.9821933,3.0,4
76,Delivery,Mon,29.1492056,40.9903041,1.0,22
77,Delivery,Mon,29.2103109,41.0117097,3.0,17
78,Delivery,Mon,29.1771707,41.0416972,1.0,21
79,Delivery,Mon,29.1887763,41.0329285,1.0,21
80,Delivery,Mon,29.2310064,40.8939041,1.0,19
81,Delivery,Mon,29.2204585,40.9219076,1.0,0
82,Delivery,Mon,29.2119046,40.9359886,1.0,0
83,Delivery,Mon,29.207745,40.9103469,1.0,0
84,Delivery,Mon,29.2244152,40.9163548,1.0,0
85,Delivery,Mon,29.2001123,40.9111761,1.0,29
86,Delivery,Mon,29.2146935,40.9237656,1.0,0
87,Delivery,Mon,29.204352,40.9199943,1.0,0
88,Delivery,Mon,29.1139783,41.0052899,2.0,33
89,Delivery,Mon,29.1134342,41.0249367,1.0,23
90,Delivery,Mon,29.1013488,41.0282177,1.0,2
91,Delivery,Mon,29.1132846,41.0063253,3.0,33
92,Delivery,Mon,29.1909445,41.0225978,1.0,21
93,Delivery,Mon,29.232086,41.0177278,1.0,7
94,Delivery,Mon,29.0942704,41.0114273,1.0,2
95,Delivery,Mon,29.1024589,41.0157826,1.0,2
96,Delivery,Mon,29.0841786,41.0220749,1.0,2
97,Delivery,Mon,29.1112409,41.0231945,1.0,23
98,Delivery,Mon,29.237589,41.0157631,1.0,7
99,Delivery,Mon,29.2375129,41.0157657,1.0,7
100,Delivery,Mon,29.1243179,41.023386,9.0,27
101,Delivery,Mon,29.1715902,41.031229,1.0,14
102,Delivery,Mon,29.438804,40.8644231,1.0,39
103,Delivery,Mon,29.2614671,40.8712131,1.0,15
104,Delivery,Mon,29.2704709,40.8885307,1.0,15
105,Delivery,Mon,29.2563283,40.8941925,1.0,12
106,Delivery,Mon,29.2482651,40.8950409,2.0,37
107,Delivery,Mon,29.2423949,40.8783658,1.0,19
108,Delivery,Mon,29.2744526,40.8845324,2.0,15
109,Delivery,Mon,29.2549208,40.87631,1.0,15
110,Delivery,Mon,29.1068861,41.0251619,5.0,23
111,Delivery,Mon,29.4073617,40.8811326,1.0,18
112,Delivery,Mon,29.3515423,40.9335645,1.0,3
113,Delivery,Mon,29.3523542,40.930705,1.0,3
114,Delivery,Mon,29.3790771,40.9428404,1.0,3
115,Delivery,Mon,29.3739282,40.8809495,1.0,25
116,Delivery,Mon,29.3681603,40.8841642,1.0,25
117,Delivery,Mon,29.61096,41.1737592,1.0,5
118,Delivery,Mon,29.5882362,41.155564,1.0,5
119,Delivery,Mon,29.3043144,41.1139535,1.0,21
120,Delivery,Mon,29.5650878,41.121991,1.0,5
121,Delivery,Mon,29.2961137,40.9588392,3.0,12
122,Delivery,Mon,29.2382482,40.8851651,1.0,19
123,Delivery,Mon,29.2381908,40.8871165,1.0,19
124,Delivery,Mon,29.2371741,40.997114,1.0,17
125,Delivery,Mon,29.233572,40.9900787,1.0,17
126,Delivery,Mon,29.2329655,40.9963978,1.0,17
127,Delivery,Mon,29.2270948,40.9922143,1.0,17
128,Delivery,Mon,29.163974,40.983663,7.0,21
129,Delivery,Mon,29.5662853,41.1681575,1.0,5
130,Delivery,Mon,29.2421414,40.9806764,1.0,32
131,Delivery,Mon,29.3032261,40.8253289,1.0,37
132,Delivery,Mon,29.3482249,40.8241802,1.0,38
133,Delivery,Mon,29.3079711,40.8285281,1.0,37
134,Delivery,Mon,29.3220364,40.8297296,1.0,35
135,Delivery,Mon,29.1295541,40.9370509,1.0,9
136,Delivery,Mon,29.1279801,40.9315289,1.0,20
137,Delivery,Mon,29.1333564,40.9270638,1.0,20
138,Delivery,Mon,29.2082545,41.0121982,3.0,17
139,Delivery,Mon,29.190903,41.0087922,1.0,16
140,Delivery,Mon,29.1872159,41.0094128,1.0,16
141,Delivery,Mon,29.2084269,41.0107473,4.0,17
142,Delivery,Mon,29.1912312,41.009246,1.0,16
143,Delivery,Mon,29.1560469,41.0013486,16.0,22
144,Delivery,Mon,29.2257903,41.0165116,1.0,17
145,Delivery,Mon,29.1334617,40.9176628,1.0,38
146,Delivery,Mon,29.1654506,40.9183245,1.0,10
147,Delivery,Mon,29.1276726,41.0262458,14.0,8
148,Delivery,Mon,29.1276776,41.0262516,4.0,8
149,Delivery,Mon,29.12867,40.9876871,1.0,4
150,Pickup,Mon,29.1403699,41.0004283,1.0,22
151,Delivery,Mon,29.2422567,41.0151766,1.0,7
152,Delivery,Mon,29.1715856,41.031219,1.0,14
153,Delivery,Mon,29.1807961,41.0395441,1.0,21
154,Delivery,Mon,29.1704912,41.0353144,1.0,21
155,Delivery,Mon,29.5664453,41.1682212,1.0,5
156,Delivery,Mon,29.2221433,40.9095776,1.0,0
157,Delivery,Mon,29.2119233,40.9204281,1.0,0
158,Delivery,Mon,29.1983994,40.9120941,1.0,29
159,Delivery,Mon,29.220692,40.9079705,1.0,0
160,Delivery,Mon,29.2261921,40.8992305,1.0,31
161,Delivery,Mon,29.2018089,40.9104768,1.0,29
162,Delivery,Mon,29.1983401,40.9120792,1.0,29
163,Delivery,Mon,29.2136585,40.9152786,1.0,0
164,Delivery,Mon,29.1055365,41.0285633,1.0,2
165,Delivery,Mon,29.1105703,41.009324,1.0,33
166,Delivery,Mon,29.1134664,41.0248797,1.0,23
167,Delivery,Mon,29.1208026,41.0061685,1.0,33
168,Delivery,Mon,29.0986461,41.0179317,1.0,2
169,Delivery,Mon,29.0987598,41.0166291,1.0,2
170,Delivery,Mon,29.1004661,41.017589,1.0,2
171,Delivery,Mon,29.2375467,41.015679,1.0,7
172,Delivery,Mon,29.2375162,41.0157407,1.0,7
173,Delivery,Mon,29.1243896,41.0233042,8.0,27
174,Delivery,Mon,29.3994196,40.8795468,5.0,18
175,Delivery,Mon,29.3629912,40.8884489,1.0,25
176,Delivery,Mon,29.358869,40.8791483,1.0,25
177,Delivery,Mon,29.3875582,40.8744355,1.0,18
178,Delivery,Mon,29.3658759,40.9034976,1.0,25
179,Delivery,Mon,29.1129927,41.0022172,1.0,3
180,Delivery,Mon,29.0894757,41.0250852,3.0,2
181,Delivery,Mon,29.0903367,41.0249605,5.0,2
182,Delivery,Mon,29.617187,41.1757573,1.0,5
183,Delivery,Mon,29.193584,41.0004387,4.0,16
184,Delivery,Mon,29.1955379,41.0008392,2.0,16
185,Delivery,Mon,29.2012375,40.9860408,14.0,21
186,Delivery,Mon,29.2317249,40.9771298,1.0,32
187,Delivery,Mon,29.2304344,40.9978247,1.0,17
188,Delivery,Mon,29.2314962,41.0051296,1.0,17
189,Delivery,Mon,29.2339003,40.9955855,1.0,17
190,Delivery,Mon,29.2315629,40.9887522,1.0,32
191,Delivery,Mon,29.1967254,41.0064915,1.0,16
192,Delivery,Mon,29.2704772,40.9965938,1.0,13
193,Delivery,Mon,29.2403756,40.9881241,1.0,32
194,Delivery,Mon,29.1924173,41.0194846,2.0,21
195,Delivery,Mon,29.1826842,41.0245764,1.0,14
196,Delivery,Mon,29.1262762,41.0191981,1.0,8
197,Delivery,Mon,29.1489432,41.0125134,1.0,33
198,Delivery,Mon,29.1224712,41.0271215,1.0,27
199,Delivery,Mon,29.1333321,40.9345337,1.0,20
200,Delivery,Mon,29.1350456,40.9364615,1.0,20
201,Delivery,Mon,29.1369308,40.9233648,1.0,20
202,Delivery,Mon,29.5901152,41.1392631,1.0,5
203,Delivery,Mon,29.6073535,41.1685302,2.0,5
204,Delivery,Mon,29.1127356,40.984,3.0,21
205,Delivery,Mon,29.163231,41.0362469,1.0,21
206,Delivery,Mon,29.1583319,40.921494,1.0,10
207,Delivery,Mon,29.1473281,40.9226371,1.0,10
208,Delivery,Mon,29.1933214,41.0172925,2.0,21
209,Delivery,Mon,29.2082315,41.012962,1.0,17
210,Delivery,Mon,29.2257187,41.009169,1.0,17
211,Delivery,Mon,29.2292038,41.0122955,1.0,17
212,Delivery,Mon,29.2187983,41.0086619,2.0,17
213,Delivery,Mon,29.1276636,41.0262613,3.0,8
214,Delivery,Mon,29.1276705,41.0262431,3.0,8
215,Delivery,Mon,29.1276838,41.0262527,5.0,8
216,Delivery,Mon,29.1392459,40.989068,1.0,4
217,Delivery,Mon,29.118346,41.0209836,2.0,23
218,Delivery,Mon,29.113507,41.0249061,1.0,23
219,Delivery,Mon,29.1643488,40.9911492,1.0,21
220,Delivery,Mon,29.2536496,41.0202478,1.0,7
221,Delivery,Mon,29.2440589,41.0192394,1.0,7
222,Delivery,Mon,29.1879338,41.032047,1.0,21
223,Delivery,Mon,29.1700088,41.0352791,1.0,21
224,Delivery,Mon,29.3255134,41.0956958,1.0,21
225,Delivery,Mon,29.3327139,41.0766655,1.0,21
226,Delivery,Mon,29.1957649,41.0168433,1.0,21
227,Delivery,Mon,29.1365222,40.9850611,1.0,4
228,Delivery,Mon,29.2198559,40.9136383,1.0,0
229,Delivery,Mon,29.2229446,40.9173173,1.0,0
230,Delivery,Mon,29.2181305,40.9201656,1.0,0
231,Delivery,Mon,29.2168372,40.9360042,1.0,0
232,Delivery,Mon,29.1983741,40.9121017,1.0,29
233,Delivery,Mon,29.1851219,40.920743,1.0,29
234,Delivery,Mon,29.1122457,41.0151923,1.0,8
235,Delivery,Mon,29.1139783,41.0052899,1.0,33
236,Delivery,Mon,29.1130616,41.0137149,1.0,8
237,Delivery,Mon,29.1113221,41.016354,1.0,8
238,Delivery,Mon,29.1762115,41.0495221,1.0,7
239,Delivery,Mon,29.1016072,41.0196642,1.0,2
240,Delivery,Mon,29.0950471,41.024371,1.0,2
241,Delivery,Mon,29.1032762,41.0170026,1.0,2
242,Delivery,Mon,29.0913054,41.0237825,2.0,2
243,Delivery,Mon,29.4031332,40.8561493,3.0,1
244,Delivery,Mon,29.3376436,40.9113503,1.0,3
245,Delivery,Mon,29.3580394,40.9186263,1.0,3
246,Delivery,Mon,29.3591893,40.8897933,1.0,25
247,Delivery,Mon,29.3707702,40.8788661,1.0,25
248,Delivery,Mon,29.3841956,40.9104089,1.0,25
249,Delivery,Mon,29.0903367,41.0249605,1.0,2
250,Delivery,Mon,29.0895034,41.0251082,10.0,2
251,Delivery,Mon,29.3198073,40.8672825,1.0,35
252,Delivery,Mon,29.274498,40.8640872,2.0,15
253,Delivery,Mon,29.3888789,40.8682405,1.0,18
254,Delivery,Mon,29.1382771,40.9305895,1.0,20
255,Delivery,Mon,29.1382771,40.9305895,9.0,20
256,Delivery,Mon,29.1733894,41.031906,10.0,14
257,Delivery,Mon,29.3680031,40.8836321,1.0,25
258,Delivery,Mon,29.3679293,40.8835068,1.0,25
259,Delivery,Mon,29.6132928,41.1789196,1.0,5
260,Delivery,Mon,29.6167805,41.1743381,2.0,5
261,Delivery,Mon,29.5791777,41.145014,1.0,5
262,Delivery,Mon,29.6145666,41.1728672,1.0,5
263,Delivery,Mon,29.302523,40.9438665,2.0,12
264,Delivery,Mon,29.2373111,40.8807764,1.0,19
265,Delivery,Mon,29.2044568,41.0083071,3.0,21
266,Delivery,Mon,29.2321879,40.9888363,1.0,32
267,Delivery,Mon,29.2310231,40.9983505,1.0,17
268,Delivery,Mon,29.2331947,40.9991268,1.0,17
269,Delivery,Mon,29.1298829,41.0173221,1.0,8
270,Delivery,Mon,29.1277239,41.0082637,1.0,33
271,Delivery,Mon,29.3132239,40.8352295,1.0,35
272,Delivery,Mon,29.3224967,40.827963,1.0,35
273,Delivery,Mon,29.1350448,40.93825,1.0,20
274,Delivery,Mon,29.1304223,40.9263301,1.0,20
275,Delivery,Mon,29.6043062,41.1558714,1.0,5
276,Delivery,Mon,29.1872072,41.0094313,1.0,16
277,Delivery,Mon,29.1904551,41.009769,1.0,16
278,Delivery,Mon,29.1635887,40.9836177,1.0,21
279,Delivery,Mon,29.4388579,40.8643788,1.0,39
280,Delivery,Mon,29.1967076,41.014128,2.0,16
281,Delivery,Mon,29.1515264,40.9207949,6.0,10
282,Delivery,Mon,29.1591876,40.9216663,1.0,10
283,Delivery,Mon,29.2307966,41.0153517,1.0,17
284,Delivery,Mon,29.2268621,41.0150732,1.0,17
285,Delivery,Mon,29.1661303,40.9195175,72.0,10
286,Delivery,Mon,29.1276642,41.0262517,1.0,8
287,Delivery,Mon,29.1276779,41.0262487,6.0,8
288,Delivery,Mon,29.1276799,41.0262489,1.0,8
289,Delivery,Mon,29.1113319,41.0165024,2.0,8
290,Delivery,Mon,29.2433402,41.0188851,1.0,7
291,Delivery,Mon,29.2566774,41.0098425,1.0,7
292,Delivery,Mon,29.1933772,41.0173164,1.0,21
293,Delivery,Mon,29.178318,41.0316609,1.0,14
294,Delivery,Mon,29.2309885,40.8938988,1.0,19
295,Delivery,Mon,29.2309951,40.8939044,1.0,19
296,Delivery,Mon,29.1977977,40.9123961,1.0,29
297,Delivery,Mon,29.2150376,40.9080102,1.0,0
298,Delivery,Mon,29.234085,40.9100943,1.0,0
299,Delivery,Mon,29.2001292,40.9111799,1.0,29
300,Delivery,Mon,29.2007952,40.915864,2.0,0
301,Delivery,Mon,29.1897706,40.915766,1.0,29
302,Delivery,Mon,29.198401,40.9120905,1.0,29
303,Delivery,Mon,29.1158516,41.0119972,1.0,8
304,Delivery,Mon,29.1199993,41.0167971,1.0,8
305,Delivery,Mon,29.1161436,41.0206642,1.0,23
306,Delivery,Mon,29.112263,41.0272013,1.0,23
307,Delivery,Mon,29.0952168,41.0162132,1.0,2
308,Delivery,Mon,29.1105168,41.0221268,1.0,23
309,Delivery,Mon,29.3523789,40.8795084,1.0,25
310,Delivery,Mon,29.3873444,40.8742254,1.0,18
311,Delivery,Mon,29.3444416,40.8839422,1.0,25
312,Delivery,Mon,29.3754954,40.9321458,2.0,3
313,Delivery,Mon,29.0878464,41.0247687,16.0,2
314,Delivery,Mon,29.0878953,41.024758,1.0,2
315,Delivery,Mon,29.3679582,40.8843903,1.0,25
316,Delivery,Mon,29.327386,41.0768845,2.0,21
317,Delivery,Mon,29.4118801,41.2010353,1.0,33
318,Delivery,Mon,29.5891045,41.1636226,1.0,5
319,Delivery,Mon,29.275177,40.9876133,1.0,13
320,Delivery,Mon,29.2304549,40.9977335,1.0,17
321,Delivery,Mon,29.2304492,40.9969363,1.0,17
322,Delivery,Mon,29.236036,40.9953438,1.0,17
323,Delivery,Mon,29.6162213,41.1752071,1.0,5
324,Delivery,Mon,29.1889949,41.0063942,1.0,16
325,Delivery,Mon,29.2447609,40.9847636,1.0,32
326,Delivery,Mon,29.1832649,41.0263629,1.0,14
327,Delivery,Mon,29.1254342,41.0258735,2.0,8
328,Delivery,Mon,29.1425169,41.0075583,1.0,22
329,Delivery,Mon,29.1214358,41.0070085,1.0,33
330,Delivery,Mon,29.322198,40.8222361,1.0,37
331,Delivery,Mon,29.1272949,40.9252577,1.0,9
332,Delivery,Mon,29.1281295,40.9289552,1.0,20
333,Delivery,Mon,29.1382284,40.9223952,1.0,20
334,Delivery,Mon,29.6135681,41.1781992,1.0,5
335,Delivery,Mon,29.187129,41.0094462,1.0,16
336,Delivery,Mon,29.1911127,41.0100809,1.0,16
337,Delivery,Mon,29.2020981,41.0128748,1.0,21
338,Delivery,Mon,29.1560469,41.0013486,1.0,22
339,Delivery,Mon,29.1928669,41.0179169,1.0,21
340,Delivery,Mon,29.3844564,40.8756398,215.0,18
341,Delivery,Mon,29.1293258,40.9200752,2.0,9
342,Delivery,Mon,29.1515323,40.9208091,4.0,10
343,Delivery,Mon,29.2138058,41.013307,1.0,17
344,Delivery,Mon,29.2116736,41.0130639,1.0,17
345,Delivery,Mon,29.1276684,41.0262372,2.0,8
346,Delivery,Mon,29.1276803,41.0262471,1.0,8
347,Delivery,Mon,29.1409249,40.9955671,1.0,22
348,Delivery,Mon,29.112259,41.0269085,7.0,23
349,Delivery,Mon,29.1129102,40.9838759,1.0,5
350,Delivery,Mon,29.2522847,41.0104518,1.0,7
351,Delivery,Mon,29.1900696,41.03318,1.0,21
352,Delivery,Mon,29.1771288,41.0417661,1.0,21
353,Delivery,Mon,29.6170036,41.1748056,1.0,5
354,Delivery,Mon,29.5787601,41.1662294,1.0,5
355,Delivery,Mon,29.2095944,40.9288281,1.0,0
356,Delivery,Mon,29.2182915,40.9018571,1.0,0
357,Delivery,Mon,29.223037,40.9273214,1.0,0
358,Delivery,Mon,29.1941333,40.915743,1.0,29
359,Delivery,Mon,29.1876257,40.9142935,1.0,29
360,Delivery,Mon,29.1801326,40.9198767,1.0,29
361,Delivery,Mon,29.2125526,40.9160462,1.0,0
362,Delivery,Mon,29.1966338,40.9140025,1.0,29
363,Delivery,Mon,29.1396876,40.9998896,1.0,22
364,Delivery,Mon,29.1113377,41.0163764,1.0,8
365,Delivery,Mon,29.1124881,41.0269225,1.0,23
366,Delivery,Mon,29.1084857,41.0245362,1.0,23
367,Delivery,Mon,29.0992242,41.0087513,1.0,36
368,Delivery,Mon,29.1882872,41.0231179,2.0,14
369,Delivery,Mon,29.0959784,41.0242188,1.0,2
370,Delivery,Mon,29.1046591,41.0131937,1.0,2
371,Delivery,Mon,29.0906464,41.0231934,1.0,2
372,Delivery,Mon,29.0999276,41.0161468,1.0,2
373,Delivery,Mon,29.4670877,40.7989412,1.0,28
374,Delivery,Mon,29.2375638,41.015701,1.0,7
375,Delivery,Mon,29.2375224,41.0157633,1.0,7
376,Delivery,Mon,29.1241158,41.0234601,1.0,27
377,Delivery,Mon,29.124464,41.0232831,3.0,27
378,Delivery,Mon,29.124498,41.0232436,3.0,27
379,Delivery,Mon,29.1243179,41.0235017,7.0,27
380,Delivery,Mon,29.1715895,41.0312249,2.0,14
381,Delivery,Mon,29.3995266,40.8795945,1.0,18
382,Pickup,Mon,29.4667869,40.7970893,16.0,28
383,Delivery,Mon,29.1464233,41.0079896,1.0,22
384,Delivery,Mon,29.3158253,40.8276905,1.0,37
385,Delivery,Mon,29.3025164,40.8307055,1.0,37
386,Delivery,Mon,29.1246497,40.9352676,1.0,38
387,Delivery,Mon,29.2366661,41.0478635,1.0,7
388,Delivery,Mon,29.2297356,41.0339219,1.0,7
389,Delivery,Mon,29.218996,41.0270965,1.0,7
390,Delivery,Mon,29.2346941,41.0506748,1.0,7
391,Delivery,Mon,29.2359627,41.0383732,1.0,7
392,Delivery,Mon,29.2729672,40.8636833,1.0,15
393,Delivery,Mon,29.2729715,40.8636816,2.0,15
394,Delivery,Mon,29.2729824,40.8636847,2.0,15
395,Delivery,Mon,29.2550149,40.9696815,4.0,13
396,Delivery,Mon,29.0804535,40.9976231,1.0,36
397,Delivery,Mon,29.0846085,40.9938747,1.0,36
398,Delivery,Mon,29.0759308,41.0016463,1.0,36
399,Delivery,Mon,29.0741293,41.0031491,1.0,36
400,Delivery,Mon,29.2550393,40.9696754,4.0,13
401,Delivery,Mon,29.4356515,40.7992694,1.0,11
402,Delivery,Mon,29.1016591,40.9724127,1.0,24
403,Delivery,Mon,29.1061829,40.9784611,1.0,24
404,Delivery,Mon,29.1101815,40.9627501,1.0,5
405,Delivery,Mon,29.1030999,40.9799908,1.0,24
406,Delivery,Mon,29.1067794,40.9767998,1.0,24
407,Delivery,Mon,29.1086476,40.9783296,7.0,24
408,Delivery,Mon,29.1056095,40.9667806,1.0,24
409,Delivery,Mon,29.1068099,40.9767773,2.0,24
410,Delivery,Mon,29.1155414,40.9727462,1.0,8
411,Delivery,Mon,29.1101522,40.9626869,1.0,5
412,Delivery,Mon,29.4358263,40.7992333,1.0,11
413,Delivery,Mon,29.1493272,41.0274991,1.0,33
414,Delivery,Mon,29.1627494,41.0167357,2.0,14
415,Delivery,Mon,29.1191904,40.9325609,2.0,38
416,Delivery,Mon,29.1903399,41.0245364,1.0,21
417,Delivery,Mon,29.1917692,41.0139105,1.0,21
418,Delivery,Mon,29.1872065,41.0094147,1.0,16
419,Delivery,Mon,29.1874287,41.007976,1.0,16
420,Delivery,Mon,29.2301088,41.0312851,2.0,7
421,Delivery,Mon,29.2693425,41.0838285,2.0,21
422,Delivery,Mon,29.222629,41.0256399,2.0,7
423,Delivery,Mon,29.2425691,41.0540208,1.0,7
424,Delivery,Mon,29.2381958,41.0514576,1.0,7
425,Delivery,Mon,29.1192445,40.9826079,2.0,4
426,Delivery,Mon,29.2729621,40.8636835,2.0,15
427,Delivery,Mon,29.2729732,40.8636839,7.0,15
428,Delivery,Mon,29.2782851,40.8605316,1.0,15
429,Delivery,Mon,29.3285829,40.9313312,1.0,30
430,Delivery,Mon,29.3334021,40.9298558,1.0,27
431,Delivery,Mon,29.3075109,40.9295069,1.0,12
432,Delivery,Mon,29.3332347,40.9297688,1.0,9
433,Delivery,Mon,29.2889892,40.9188512,3.0,26
434,Delivery,Mon,29.3149748,40.9269265,1.0,8
435,Delivery,Mon,29.4129456,40.842872,2.0,1
436,Delivery,Mon,29.4015093,40.8758889,1.0,18
437,Delivery,Mon,29.4048141,40.8563593,12.0,1
438,Delivery,Mon,29.3762872,40.8807749,1.0,25
439,Delivery,Mon,29.3716674,40.8916936,5.0,25
440,Delivery,Mon,29.3484608,40.8814758,1.0,25
441,Delivery,Mon,29.3484608,40.8814758,3.0,25
442,Delivery,Mon,29.378962,40.7815472,1.0,34
443,Delivery,Mon,29.3654703,40.7974611,1.0,9
444,Delivery,Mon,29.3775929,40.7979143,3.0,9
445,Delivery,Mon,29.399702,40.789975,1.0,34
446,Delivery,Mon,29.4115227,40.7821179,1.0,34
447,Delivery,Mon,29.4016476,40.8477391,1.0,1
448,Delivery,Mon,29.1842787,41.0523679,1.0,7
449,Delivery,Mon,29.2302083,40.9091336,1.0,0
450,Delivery,Mon,29.1993119,40.9095532,1.0,29
451,Delivery,Mon,29.1893536,40.9110569,1.0,29
452,Delivery,Mon,29.2334182,40.8967312,1.0,19
453,Delivery,Mon,29.1720344,40.9180034,2.0,10
454,Delivery,Mon,29.1659664,40.8986651,1.0,31
455,Delivery,Mon,29.2725709,40.9261466,1.0,12
456,Delivery,Mon,29.3432045,40.9138207,1.0,3
457,Delivery,Mon,29.37385,40.8809067,1.0,25
458,Delivery,Mon,29.3472206,40.9216319,1.0,3
459,Delivery,Mon,29.3872704,40.8741724,1.0,18
460,Delivery,Mon,29.0903367,41.0249605,1.0,2
461,Delivery,Mon,29.3682362,40.8838002,1.0,25
462,Delivery,Mon,29.6106497,41.1697296,1.0,5
463,Delivery,Mon,29.5644617,41.1673438,1.0,5
464,Delivery,Mon,29.6067621,41.1622044,1.0,5
465,Delivery,Mon,29.2760314,40.9956085,1.0,13
466,Delivery,Mon,29.2758984,40.9849325,1.0,13
467,Delivery,Mon,29.2005405,41.0068359,5.0,16
468,Delivery,Mon,29.2392694,40.9909516,1.0,17
469,Delivery,Mon,29.2340627,40.9939848,1.0,17
470,Delivery,Mon,29.2340207,40.9972304,1.0,17
471,Delivery,Mon,29.1224403,41.0274585,1.0,27
472,Delivery,Mon,29.3069331,40.8395478,1.0,35
473,Delivery,Mon,29.3108617,40.8270863,1.0,37
474,Delivery,Mon,29.1232672,40.9317453,1.0,38
475,Delivery,Mon,29.564281,41.1671133,1.0,5
476,Pickup,Mon,29.0871552,41.0246273,1.0,2
477,Delivery,Mon,29.2065183,41.0132306,1.0,17
478,Delivery,Mon,29.1674281,40.9882368,2.0,21
479,Pickup,Mon,29.0873312,41.0246405,2.0,2
480,Delivery,Mon,29.1511295,40.9142534,1.0,10
481,Delivery,Mon,29.1593034,40.9170713,1.0,10
482,Delivery,Mon,29.1967076,41.0141107,1.0,16
483,Delivery,Mon,29.2273446,41.0112241,1.0,17
