Durak No,Type,Durak Günü,Longitude,Latitude,Paket Adedi,cluster_id
142,Delivery,Mon,29.1912312,41.009246,1,3
143,Delivery,Mon,29.1560469,41.0013486,16,0
144,Delivery,Mon,29.2257903,41.0165116,1,3
145,Delivery,Mon,29.1334617,40.9176628,1,7
146,Delivery,Mon,29.1654506,40.9183245,1,7
147,Delivery,Mon,29.1276726,41.0262458,14,0
148,Delivery,Mon,29.1276776,41.0262516,4,0
149,Delivery,Mon,29.12867,40.9876871,1,0
150,Pickup,Mon,29.1403699,41.0004283,1,0
151,Delivery,Mon,29.2422567,41.0151766,1,3
152,Delivery,Mon,29.1715856,41.031219,1,3
153,Delivery,Mon,29.1807961,41.0395441,1,3
154,Delivery,Mon,29.1704912,41.0353144,1,3
155,Delivery,Mon,29.5664453,41.1682212,1,4
156,Delivery,Mon,29.2221433,40.9095776,1,2
157,Delivery,Mon,29.2119233,40.9204281,1,2
158,Delivery,Mon,29.1983994,40.9120941,1,2
159,Delivery,Mon,29.220692,40.9079705,1,2
160,Delivery,Mon,29.2261921,40.8992305,1,2
161,Delivery,Mon,29.2018089,40.9104768,1,2
162,Delivery,Mon,29.1983401,40.9120792,1,2
163,Delivery,Mon,29.2136585,40.9152786,1,2
164,Delivery,Mon,29.1055365,41.0285633,1,0
165,Delivery,Mon,29.1105703,41.009324,1,0
166,Delivery,Mon,29.1134664,41.0248797,1,0
167,Delivery,Mon,29.1208026,41.0061685,1,0
168,Delivery,Mon,29.0986461,41.0179317,1,0
169,Delivery,Mon,29.0987598,41.0166291,1,0
170,Delivery,Mon,29.1004661,41.017589,1,0
171,Delivery,Mon,29.2375467,41.015679,1,3
172,Delivery,Mon,29.2375162,41.0157407,1,3
173,Delivery,Mon,29.1243896,41.0233042,8,0
174,Delivery,Mon,29.3994196,40.8795468,5,1
175,Delivery,Mon,29.3629912,40.8884489,1,1
176,Delivery,Mon,29.358869,40.8791483,1,1
177,Delivery,Mon,29.3875582,40.8744355,1,1
178,Delivery,Mon,29.3658759,40.9034976,1,1
179,Delivery,Mon,29.1129927,41.0022172,1,0
180,Delivery,Mon,29.0894757,41.0250852,3,0
181,Delivery,Mon,29.0903367,41.0249605,5,0
182,Delivery,Mon,29.617187,41.1757573,1,4
183,Delivery,Mon,29.193584,41.0004387,4,3
184,Delivery,Mon,29.1955379,41.0008392,2,3
185,Delivery,Mon,29.2012375,40.9860408,14,3
186,Delivery,Mon,29.2317249,40.9771298,1,3
187,Delivery,Mon,29.2304344,40.9978247,1,3
188,Delivery,Mon,29.2314962,41.0051296,1,3
189,Delivery,Mon,29.2339003,40.9955855,1,3
190,Delivery,Mon,29.2315629,40.9887522,1,3
191,Delivery,Mon,29.1967254,41.0064915,1,3
192,Delivery,Mon,29.2704772,40.9965938,1,3
193,Delivery,Mon,29.2403756,40.9881241,1,3
194,Delivery,Mon,29.1924173,41.0194846,2,3
195,Delivery,Mon,29.1826842,41.0245764,1,3
196,Delivery,Mon,29.1262762,41.0191981,1,0
197,Delivery,Mon,29.1489432,41.0125134,1,0
198,Delivery,Mon,29.1224712,41.0271215,1,0
199,Delivery,Mon,29.1333321,40.9345337,1,7
200,Delivery,Mon,29.1350456,40.9364615,1,7
201,Delivery,Mon,29.1369308,40.9233648,1,7
202,Delivery,Mon,29.5901152,41.1392631,1,4
203,Delivery,Mon,29.6073535,41.1685302,2,4
204,Delivery,Mon,29.1127356,40.984,3,0
205,Delivery,Mon,29.163231,41.0362469,1,0
206,Delivery,Mon,29.1583319,40.921494,1,7
207,Delivery,Mon,29.1473281,40.9226371,1,7
208,Delivery,Mon,29.1933214,41.0172925,2,3
209,Delivery,Mon,29.2082315,41.012962,1,3
210,Delivery,Mon,29.2257187,41.009169,1,3
211,Delivery,Mon,29.2292038,41.0122955,1,3
212,Delivery,Mon,29.2187983,41.0086619,2,3
213,Delivery,Mon,29.1276636,41.0262613,3,0
214,Delivery,Mon,29.1276705,41.0262431,3,0
215,Delivery,Mon,29.1276838,41.0262527,5,0
